data,leitos ocupados (uti+geral),leitos totais (uti+geral),uti ocupadas,utis totais,,
2020-03-27,6,,,318,,
2020-03-28,14,,,318,,
2020-03-29,18,,8,318,,
2020-03-30,18,,8,318,,
2020-03-31,42,,8,318,,
2020-04-01,33,,8,318,,
2020-04-02,33,,8,318,,
2020-04-03,35,,8,318,,
2020-04-04,33,,18,318,,
2020-04-05,27,,19,318,,
2020-04-06,46,,26,318,,
2020-04-07,51,,29,318,,
2020-04-08,50,,28,318,,
2020-04-09,51,,26,318,,
2020-04-10,25,,11,318,,
2020-04-11,60,,29,318,,
2020-04-12,66,,28,318,,
2020-04-13,66,,28,318,,
2020-04-14,85,,29,318,,
2020-04-15,99,,38,318,,
2020-04-16,104,,45,318,,
2020-04-17,116,,48,318,,
2020-04-18,148,,52,318,,
2020-04-19,138,,50,318,,
2020-04-20,158,,64,318,,
2020-04-21,163,,64,318,,
2020-04-22,291,,61,318,,
2020-04-23,231,,67,318,,
2020-04-24,230,,68,318,,
2020-04-25,254,,71,318,,
2020-04-26,243,,72,318,,
2020-04-27,253,,73,318,,
2020-04-28,275,,89,318,,
2020-04-29,276,785,137,318,,
2020-04-30,328,768,153,318,,
2020-05-01,306,791,159,318,,
2020-05-02,367,838,169,318,,
2020-05-03,367,838,169,318,,
2020-05-04,382,742,182,313,,
2020-05-05,394,762,194,318,,
2020-05-06,424,752,223,349,,
2020-05-07,432,855,228,422,,
2020-05-08,446,888,235,422,,
2020-05-09,432,893,227,422,,
2020-05-10,444,888,229,422,,
2020-05-11,451,1025,246,437,,
2020-05-12,475,1090,255,462,,
2020-05-13,496,1194,280,496,,
2020-05-14,478,1192,254,496,,
2020-05-15,478,1192,254,496,,
2020-05-16,625,1228,310,512,,
2020-05-17,646,1229,313,513,,
2020-05-18,662,1246,332,518,,
2020-05-19,683,1293,342,527,,
2020-05-20,688,1365,327,547,,
2020-05-21,718,1427,345,571,,
2020-05-22,783,1464,392,596,,
2020-05-23,819,1459,433,593,,
2020-05-24,728,1475,375,610,,
2020-05-25,911,1576,454,629,,
2020-05-26,917,1658,465,678,,
2020-05-27,931,1679,489,719,,
2020-05-28,937,1710,486,714,,
2020-05-29,960,1679,505,731,,
2020-05-30,996,1725,524,766,,
2020-05-31,1002,1731,520,771,,
2020-06-01,1017,1803,534,791,,
2020-06-02,1032,1833,540,791,,
2020-06-03,1031,1853,544,791,,
2020-06-04,1085,1877,557,793,,
2020-06-05,1109,1929,565,798,,
2020-06-06,1104,1960,543,800,,
2020-06-07,1093,1978,554,814,,
2020-06-08,1103,1977,563,813,,
2020-06-09,1179,1978,607,827,,
2020-06-10,1192,1990,601,839,,
2020-06-11,1188,1998,623,847,,
2020-06-12,1214,2036,634,850,,
2020-06-13,1236,2060,635,866,,
2020-06-14,1298,2082,665,866,,
2020-06-15,1265,2102,642,866,,
2020-06-16,1265,2102,622,866,,
2020-06-17,1300,2104,649,868,,
2020-06-18,1244,2116,650,868,,
2020-06-19,1314,2120,668,872,,
2020-06-20,1292,2158,667,893,,
2020-06-21,1314,2149,683,887,,
2020-06-22,1306,2183,666,896,,
2020-06-23,1351,2185,670,898,,
2020-06-24,1351,2188,684,901,,
2020-06-25,1388,2178,690,898,,
2020-06-26,1371,2181,688,901,,
2020-06-27,1425,2259,716,901,,
2020-06-28,1416,2266,715,908,,
2020-06-29,1385,2284,705,916,,
2020-06-30,1422,2284,718,916,,
2020-07-01,1427,2284,720,916,,
2020-07-02,1476,2254,715,906,,
2020-07-03,1484,2281,708,911,,
2020-07-04,1500,2283,732,913,,
2020-07-05,1567,2283,725,913,,
2020-07-06,1485,2293,715,882,,
2020-07-07,1496,2312,717,887,,
2020-07-08,1479,2335,713,890,,
2020-07-09,1531,2351,730,898,,
2020-07-10,1532,2368,725,915,,
2020-07-11,1535,2378,733,926,,
2020-07-12,1546,2378,749,926,,
2020-07-13,1522,2378,732,926,,
2020-07-14,1538,2435,730,943,,
2020-07-15,1560,2408,740,943,,
2020-07-16,1553,2408,750,943,,
2020-07-17,1564,2433,758,963,,
2020-07-18,1593,2487,760,993,,
2020-07-19,1612,2487,768,993,,
2020-07-20,1614,2532,761,1013,,
2020-07-21,1614,2532,761,1013,,
2020-07-22,1614,2532,761,1013,,
2020-07-23,1684,2659,798,1077,,
2020-07-24,1686,2659,793,1077,,
2020-07-25,1700,2663,813,1081,,
2020-07-26,1708,2662,821,1081,,
